author_id,name,institution
A5110851803,Robert H. Bartlett,University of Michigan–Ann Arbor
A5084364974,Jennifer M. Rhode,University of Michigan–Ann Arbor
A5085133226,Eboda Oluwatobi,University of Michigan–Ann Arbor
A5103020729,Kavitha Ranganathan,University of Michigan–Ann Arbor
A5086668431,A5086668431,University of Michigan–Ann Arbor
A5058599487,A5058599487,University of Michigan–Ann Arbor
A5000538716,A5000538716,University of Michigan–Ann Arbor
A5052930526,A5052930526,University of Michigan–Ann Arbor
A5108198444,A5108198444,University of Michigan–Ann Arbor
A5113505893,A5113505893,University of Michigan–Ann Arbor
A5005167786,A5005167786,University of Michigan–Ann Arbor
A5104244498,A5104244498,University of Michigan–Ann Arbor
A5069392685,A5069392685,University of Michigan–Ann Arbor
A5109006564,A5109006564,University of Michigan–Ann Arbor
A5046132413,A5046132413,University of Michigan–Ann Arbor
A5020928682,A5020928682,University of Michigan–Ann Arbor
A5076897050,A5076897050,University of Michigan–Ann Arbor
A5110265854,A5110265854,University of Michigan–Ann Arbor
A5049766014,A5049766014,University of Michigan–Ann Arbor
A5087107933,A5087107933,University of Michigan–Ann Arbor
A5095499968,A5095499968,University of Michigan–Ann Arbor
A5070907766,A5070907766,University of Michigan–Ann Arbor
A5036609264,A5036609264,University of Michigan–Ann Arbor
A5065608821,A5065608821,University of Michigan–Ann Arbor
A5015145508,A5015145508,University of Michigan–Ann Arbor
A5104071378,A5104071378,University of Michigan–Ann Arbor
A5094727852,A5094727852,University of Michigan–Ann Arbor
A5003998623,A5003998623,University of Michigan–Ann Arbor
A5023036695,A5023036695,University of Michigan–Ann Arbor
A5003134797,A5003134797,University of Michigan–Ann Arbor
A5081804250,A5081804250,University of Michigan–Ann Arbor
A5110058572,A5110058572,University of Michigan–Ann Arbor
A5104071377,A5104071377,University of Michigan–Ann Arbor
A5059162243,A5059162243,University of Michigan–Ann Arbor
A5028372756,A5028372756,University of Michigan–Ann Arbor
A5078648922,A5078648922,University of Michigan–Ann Arbor
A5034501933,A5034501933,University of Michigan–Ann Arbor
A5095419607,A5095419607,University of Michigan–Ann Arbor
A5032129773,A5032129773,University of Michigan–Ann Arbor
A5044571724,A5044571724,University of Michigan–Ann Arbor
A5095419603,A5095419603,University of Michigan–Ann Arbor
A5015914957,A5015914957,University of Michigan–Ann Arbor
A5095509690,A5095509690,University of Michigan–Ann Arbor
A5087581768,A5087581768,University of Michigan–Ann Arbor
A5103755251,A5103755251,University of Michigan–Ann Arbor
A5110200402,A5110200402,University of Michigan–Ann Arbor
A5011342422,A5011342422,University of Michigan–Ann Arbor
A5088298096,A5088298096,University of Michigan–Ann Arbor
A5024296511,A5024296511,University of Michigan–Ann Arbor
A5074909517,A5074909517,University of Michigan–Ann Arbor
A5110773817,A5110773817,University of Michigan–Ann Arbor
A5014392505,A5014392505,University of Michigan–Ann Arbor
A5088221049,A5088221049,University of Michigan–Ann Arbor
A5095509687,A5095509687,University of Michigan–Ann Arbor
A5109570544,A5109570544,University of Michigan–Ann Arbor
A5085359307,A5085359307,University of Michigan–Ann Arbor
A5006174729,A5006174729,University of Michigan–Ann Arbor
A5061958809,A5061958809,University of Michigan–Ann Arbor
A5077087475,A5077087475,University of Michigan–Ann Arbor
A5032484515,A5032484515,University of Michigan–Ann Arbor
A5109160691,A5109160691,University of Michigan–Ann Arbor
A5095419605,A5095419605,University of Michigan–Ann Arbor
A5087424585,A5087424585,University of Michigan–Ann Arbor
A5032452767,A5032452767,University of Michigan–Ann Arbor
A5055673068,A5055673068,University of Michigan–Ann Arbor
A5009668118,A5009668118,University of Michigan–Ann Arbor
A5025256411,A5025256411,University of Michigan–Ann Arbor
A5020006331,A5020006331,University of Michigan–Ann Arbor
A5042950398,A5042950398,University of Michigan–Ann Arbor
A5064991115,A5064991115,University of Michigan–Ann Arbor
A5111758358,A5111758358,University of Michigan–Ann Arbor
A5109890839,A5109890839,University of Michigan–Ann Arbor
A5095509686,A5095509686,University of Michigan–Ann Arbor
A5112096109,A5112096109,University of Michigan–Ann Arbor
A5084583734,A5084583734,University of Michigan–Ann Arbor
A5010515107,A5010515107,University of Michigan–Ann Arbor
A5111669860,A5111669860,University of Michigan–Ann Arbor
A5029107105,A5029107105,University of Michigan–Ann Arbor
A5109531596,A5109531596,University of Michigan–Ann Arbor
A5046232677,A5046232677,University of Michigan–Ann Arbor
A5045617050,A5045617050,University of Michigan–Ann Arbor
A5066313821,A5066313821,University of Michigan–Ann Arbor
A5103456701,A5103456701,University of Michigan–Ann Arbor
A5078018472,A5078018472,University of Michigan–Ann Arbor
A5069054065,A5069054065,University of Michigan–Ann Arbor
A5079852089,A5079852089,University of Michigan–Ann Arbor
A5070004426,A5070004426,University of Michigan–Ann Arbor
A5011492655,A5011492655,University of Michigan–Ann Arbor
A5048345240,A5048345240,University of Michigan–Ann Arbor
A5060234493,A5060234493,University of Michigan–Ann Arbor
A5065741144,A5065741144,University of Michigan–Ann Arbor
A5109602023,A5109602023,University of Michigan–Ann Arbor
A5006943303,A5006943303,University of Michigan–Ann Arbor
A5057439776,A5057439776,University of Michigan–Ann Arbor
A5047216907,A5047216907,University of Michigan–Ann Arbor
A5039894848,A5039894848,University of Michigan–Ann Arbor
A5019538225,A5019538225,University of Michigan–Ann Arbor
A5082641182,A5082641182,University of Michigan–Ann Arbor
A5055118171,A5055118171,University of Michigan–Ann Arbor
A5084802724,A5084802724,University of Michigan–Ann Arbor
A5045351165,A5045351165,University of Michigan–Ann Arbor
A5005071158,A5005071158,University of Michigan–Ann Arbor
A5014849279,A5014849279,University of Michigan–Ann Arbor
A5102970303,A5102970303,University of Michigan–Ann Arbor
A5034045203,A5034045203,University of Michigan–Ann Arbor
A5000217158,A5000217158,University of Michigan–Ann Arbor
A5031177940,A5031177940,University of Michigan–Ann Arbor
A5059950471,A5059950471,University of Michigan–Ann Arbor
A5036638122,A5036638122,University of Michigan–Ann Arbor
A5056886978,A5056886978,University of Michigan–Ann Arbor
A5095509682,A5095509682,University of Michigan–Ann Arbor
A5034790721,A5034790721,University of Michigan–Ann Arbor
A5113979417,A5113979417,University of Michigan–Ann Arbor
A5071357539,A5071357539,University of Michigan–Ann Arbor
A5013801244,A5013801244,University of Michigan–Ann Arbor
A5031373908,A5031373908,University of Michigan–Ann Arbor
A5074392691,A5074392691,University of Michigan–Ann Arbor
A5095509688,A5095509688,University of Michigan–Ann Arbor
A5109869353,A5109869353,University of Michigan–Ann Arbor
A5039994157,A5039994157,University of Michigan–Ann Arbor
A5037167843,A5037167843,University of Michigan–Ann Arbor
A5111434865,A5111434865,University of Michigan–Ann Arbor
A5082380342,A5082380342,University of Michigan–Ann Arbor
A5054488261,A5054488261,University of Michigan–Ann Arbor
A5061075380,A5061075380,University of Michigan–Ann Arbor
A5062409917,A5062409917,University of Michigan–Ann Arbor
A5074039547,A5074039547,University of Michigan–Ann Arbor
A5095419604,A5095419604,University of Michigan–Ann Arbor
A5112830573,A5112830573,University of Michigan–Ann Arbor
A5050618858,A5050618858,University of Michigan–Ann Arbor
A5063840501,A5063840501,University of Michigan–Ann Arbor
A5073578586,A5073578586,University of Michigan–Ann Arbor
A5103690018,A5103690018,University of Michigan–Ann Arbor
A5065077444,A5065077444,University of Michigan–Ann Arbor
A5112685651,A5112685651,University of Michigan–Ann Arbor
A5084941880,A5084941880,University of Michigan–Ann Arbor
A5074440820,A5074440820,University of Michigan–Ann Arbor
A5103704591,A5103704591,University of Michigan–Ann Arbor
A5109865949,A5109865949,University of Michigan–Ann Arbor
A5013806545,A5013806545,University of Michigan–Ann Arbor
A5079129853,A5079129853,University of Michigan–Ann Arbor
A5107922964,A5107922964,University of Michigan–Ann Arbor
A5108611946,A5108611946,University of Michigan–Ann Arbor
A5080277287,A5080277287,University of Michigan–Ann Arbor
A5114017435,A5114017435,University of Michigan–Ann Arbor
A5085206849,A5085206849,University of Michigan–Ann Arbor
A5087203412,A5087203412,University of Michigan–Ann Arbor
A5031688571,A5031688571,University of Michigan–Ann Arbor
A5064994090,A5064994090,University of Michigan–Ann Arbor
A5094727850,A5094727850,University of Michigan–Ann Arbor
