paper_id,author_id
W4241469460,A5062747295
W4253856976,A5087203412
W4253856976,A5000538716
W4255406679,A5069054065
W4255406679,A5012543990
W2023217137,A5050618858
W2053446606,A5029245318
W2073325798,A5000217158
W801942799,A5008336061
W100719162,A5052930526
W1039672249,A5065608821
W143214991,A5028372756
W1486183097,A5034082213
W1491889844,A5014458152
W1530815201,A5025256411
W1562092868,A5103451064
W1581352698,A5018169129
W1619739940,A5103704591
W1719270815,A5079852089
W1974113977,A5082814564
W2008470194,A5086161702
W2013324570,A5002950613
W2022644017,A5064867362
W2027267191,A5081804250
W2051111795,A5032129773
W2155971143,A5070907766
W2229862959,A5104244498
W2332785559,A5029107105
W2332785559,A5003998623
W2332785559,A5102970303
W2332785559,A5085133226
W2332785559,A5103020729
W2332785559,A5059882947
W2332785559,A5041311658
W2332785559,A5036135458
W2332785559,A5082898289
W2409655914,A5038153078
W2409655914,A5055673068
W2421647687,A5103755251
W2481306435,A5027324025
W2490265686,A5024296511
W2492908910,A5085206849
W2507202388,A5031688571
W2523945482,A5009668118
W2572724347,A5055118171
W2576161552,A5052918061
W2576161552,A5018391024
W2576161552,A5034045203
W2576161552,A5103456701
W2586061699,A5061075380
W2586061699,A5014849279
W2586061699,A5001293585
W2586061699,A5034501933
W2586061699,A5046322074
W2586061699,A5064994090
W2586061699,A5030629486
W2586061699,A5018219815
W2586061699,A5080277287
W2586061699,A5082380342
W2623278906,A5049358205
W2893784806,A5031177940
W3021729128,A5087107933
W3022452882,A5070004426
W3023238175,A5023884929
W3136797660,A5054429343
W3161143935,A5037541525
W3162489099,A5065370018
W4230005502,A5081804250
W4231030683,A5070004426
W4233695918,A5082641182
W4233696467,A5048345240
W4239506087,A5072703739
W4239775003,A5046232677
W4239911448,A5076897050
W4241959856,A5016097378
W4242463887,A5046207661
W4244821854,A5078018472
W4245098302,A5084583734
W4247092823,A5031373908
W4251872878,A5034045203
W4253072051,A5005167786
W4255589353,A5090928430
W4376469821,A5054488261
W4376469821,A5039894848
W4376469821,A5072193517
W4376469821,A5077567754
W580705768,A5083104120
W103188550,A5113481655
W152846797,A5023036695
W1997876887,A5060234493
W2028980580,A5110058572
W2289774588,A5051390831
W2475824971,A5044571724
W2044448171,A5113674622
W4240753943,A5005071158
W4245136458,A5005828719
W4251151114,A5011522127
W4251151114,A5086668431
W4254426852,A5066313821
W4254426852,A5001708263
W4254426852,A5085359307
W4254426852,A5043075596
W4254426852,A5114017435
W4254426852,A5005815372
W4254426852,A5069392685
W4254426852,A5016327634
W4254426852,A5032452767
W4254426852,A5090413302
W4254426852,A5074440820
W4254426852,A5095509682
W4254426852,A5006265075
W4254426852,A5112830573
W4254426852,A5095509683
W4254426852,A5095509684
W4254426852,A5026117948
W4254426852,A5095509685
W4254426852,A5095509686
W4254426852,A5095509687
W4254426852,A5095509688
W4254426852,A5095509689
W4254426852,A5095509690
W2092997999,A5068569682
W205468973,A5045351165
W2118372277,A5034259217
W2332433426,A5109866886
W4251795103,A5112289125
W1530463898,A5112096109
W2059014829,A5111758535
W2063355031,A5108786222
W2091479400,A5058599487
W2091479400,A5011007139
W2091479400,A5110851803
W2091479400,A5024271910
W2109256180,A5110940969
W2593517576,A5061958809
W4214731103,A5112764503
W4214731103,A5107922964
W4214731103,A5112685651
W4214731103,A5094727850
W4214731103,A5011588936
W4214731103,A5094727851
W4214731103,A5094727852
W4214731103,A5014392505
W4214731103,A5065741144
W4214731103,A5081437289
W4214731103,A5088179585
W4214731103,A5074039547
W4229751757,A5109831060
W4231655126,A5003134797
W4232230904,A5015191140
W4235217593,A5109602023
W4235217593,A5077087475
W4235217593,A5036609264
W4235217593,A5068238406
W4235217593,A5017327319
W4235217593,A5010515107
W4238814286,A5088221049
W4246635372,A5110285321
W4249361261,A5108611946
W4249361261,A5020928682
W4251905151,A5018397055
W4251905151,A5029531350
W4251905151,A5105623019
W4251905151,A5103690018
W4251905151,A5045617050
W4251905151,A5040767024
W4251905151,A5030964963
W4251905151,A5023494889
W4251905151,A5013935560
W4251905151,A5073578586
W4251905151,A5051853768
W4251905151,A5034790721
W4251905151,A5036638122
W4251905151,A5095499968
W4251905151,A5063840501
W4251905151,A5094666601
W4251905151,A5013801244
W4251905151,A5074392691
W4251905151,A5043487202
W4251905151,A5078648922
W4251905151,A5019538225
W4251905151,A5022043890
W4251905151,A5006943303
W4251905151,A5111669860
W4251905151,A5067006976
W4251905151,A5110773817
W4251905151,A5101405448
W4251905151,A5109570544
W4251905151,A5100387376
W4251905151,A5113505893
W4251905151,A5013806545
W4251905151,A5009468369
W4251905151,A5011342422
W4251905151,A5109921124
W4254230696,A5095419603
W4254230696,A5104071378
W4254230696,A5109006564
W4254230696,A5087424585
W4254230696,A5087581768
W4254230696,A5011004764
W4254230696,A5113064181
W4254230696,A5095419608
W4254230696,A5003821719
W4254230696,A5109160691
W4254230696,A5108787557
W4254230696,A5095419604
W4254230696,A5095419605
W4254230696,A5001878517
W4254230696,A5104071377
W4254230696,A5101174883
W4254230696,A5095419606
W4254230696,A5095419607
W4255664353,A5057439776
W4297928117,A5006174729
W4388928187,A5113239627
W614428307,A5109865949
W3020871668,A5056886978
W3020871668,A5011595369
W3021390258,A5020006331
W3021390258,A5042950398
W3021390258,A5047216907
W3021390258,A5111434865
W3021390258,A5046132413
W3021390258,A5084941880
W3021686746,A5000908221
W3021686746,A5109869353
W3021686746,A5052209029
W3021686746,A5109890839
W3021686746,A5080366682
W3021838274,A5084364974
W3021838274,A5079268091
W3021838274,A5108695291
W3021838274,A5062409917
W3021838274,A5057991803
W3021886750,A5113727835
W3023192929,A5064991115
W3023192929,A5059162243
W3023192929,A5088298096
W3023713505,A5049766014
W3023713505,A5109987287
W3023713505,A5057991803
W3087977426,A5037167843
W4230468538,A5065077444
W4230468538,A5113979417
W4231973502,A5038770977
W4231973502,A5032631525
W4231973502,A5110265854
W4231973502,A5079129853
W4236523035,A5109531596
W4237184669,A5109531596
W4238561069,A5110887598
W4241155290,A5011492655
W4241155290,A5108198444
W4241155290,A5111758358
W4254604745,A5103795187
W4254604745,A5056842721
W4254604745,A5015145508
W4254604745,A5071357539
W4254604745,A5015914957
W4254604745,A5084802724
W4254604745,A5110200402
W2141290335,A5103267483
W2141290335,A5039994157
W1009147951,A5029082567
W144505318,A5059950471
W1590644078,A5065584421
W1859774294,A5032484515
W1859774294,A5074909517
W2146638447,A5007259685
W2206594201,A5043691231
