paper_id,title,year,cited_by_count,field,patent_count
W4241469460,Paper W4241469460,2016,0,Computer science,0
W4253856976,Paper W4253856976,2003,0,Physics,0
W4255406679,Paper W4255406679,2020,0,Psychology,0
W2023217137,Paper W2023217137,2003,1,Environmental ethics,0
W2053446606,Paper W2053446606,2003,1,Medicine,0
W2073325798,Paper W2073325798,2003,1,Psychology,0
W801942799,Paper W801942799,2008,1,History,0
W100719162,Paper W100719162,2009,0,Business,0
W1039672249,Paper W1039672249,2003,0,Computer science,0
W143214991,Paper W143214991,2010,0,Library science,0
W1486183097,Paper W1486183097,2000,0,Philosophy,0
W1491889844,Paper W1491889844,2000,0,Computer science,0
W1530815201,Paper W1530815201,2007,0,Geography,0
W1562092868,Paper W1562092868,2006,0,Computer science,0
W1581352698,Paper W1581352698,2000,0,Psychology,0
W1619739940,Paper W1619739940,2011,0,Psychology,0
W1719270815,Paper W1719270815,2010,0,Philosophy,0
W1974113977,Paper W1974113977,2000,0,Psychology,0
W2008470194,Paper W2008470194,2015,0,Medicine,0
W2013324570,Paper W2013324570,2008,0,Medicine,0
W2022644017,Paper W2022644017,2008,0,Computer science,0
W2027267191,Paper W2027267191,2001,0,Political science,0
W2051111795,Paper W2051111795,2006,0,Gerontology,0
W2155971143,Paper W2155971143,2005,0,Art,0
W2229862959,Paper W2229862959,2015,0,Biology,0
W2332785559,Paper W2332785559,2014,0,Medicine,0
W2409655914,Paper W2409655914,2010,0,Psychology,0
W2421647687,Paper W2421647687,2016,0,Psychology,0
W2481306435,Paper W2481306435,2014,0,Political science,0
W2490265686,Paper W2490265686,2007,0,Environmental science,0
W2492908910,Paper W2492908910,2014,0,Computer science,0
W2507202388,Paper W2507202388,2014,0,Geology,0
W2523945482,Paper W2523945482,2009,0,Economics,0
W2572724347,Paper W2572724347,2010,0,Computer science,0
W2576161552,Paper W2576161552,2006,0,Traditional medicine,0
W2586061699,Paper W2586061699,2016,0,Cancer research,0
W2623278906,Paper W2623278906,2010,0,Philosophy,0
W2893784806,Paper W2893784806,2014,0,Law,0
W3021729128,Paper W3021729128,2006,0,Medicine,0
W3022452882,Paper W3022452882,2008,0,Mathematics,0
W3023238175,Paper W3023238175,2010,0,Environmental science,0
W3136797660,Paper W3136797660,2008,0,Computer science,0
W3161143935,Paper W3161143935,2006,0,Computer science,0
W3162489099,Paper W3162489099,2006,0,Computer science,0
W4230005502,Paper W4230005502,2002,0,Political science,0
W4231030683,Paper W4231030683,2008,0,History,0
W4233695918,Paper W4233695918,2011,0,Sociology,0
W4233696467,Paper W4233696467,2001,0,Medicine,0
W4239506087,Paper W4239506087,2016,0,History,0
W4239775003,Paper W4239775003,2008,0,History,0
W4239911448,Paper W4239911448,2005,0,Computer science,0
W4241959856,Paper W4241959856,2013,0,Computer science,0
W4242463887,Paper W4242463887,2006,0,Psychology,0
W4244821854,Paper W4244821854,2005,0,Philosophy,0
W4245098302,Paper W4245098302,2000,0,History,0
W4247092823,Paper W4247092823,2015,0,Mathematics,0
W4251872878,Paper W4251872878,2001,0,Medicine,1
W4253072051,Paper W4253072051,2004,0,Medicine,0
W4255589353,Paper W4255589353,2011,0,Psychology,0
